[[28.6875 28.625  28.625  28.625  28.625 ]],[28.656496 28.650356 28.649694 28.639898 28.629143]
[[28.625 28.625 28.625 28.625 28.625]],[28.656496 28.650356 28.649694 28.639898 28.629143]
[[28.625  28.625  28.625  28.625  28.5625]],[28.610579 28.603392 28.59832  28.58426  28.569328]
[[28.625  28.625  28.625  28.5625 28.5625]],[28.59634  28.587046 28.579798 28.563547 28.547531]
[[28.625  28.625  28.5625 28.5625 28.5625]],[28.586227 28.575844 28.568308 28.552614 28.537912]
[[28.625  28.5625 28.5625 28.5625 28.5625]],[28.586178 28.576714 28.571264 28.558464 28.545753]
[[28.5625 28.5625 28.5625 28.5625 28.5   ]],[28.594425 28.589092 28.588095 28.57867  28.5687  ]
[[28.5625 28.5625 28.5625 28.5    28.5625]],[28.548586 28.542473 28.537182 28.523335 28.509277]
[[28.5625 28.5625 28.5    28.5625 28.5   ]],[28.534431 28.526192 28.518738 28.50271  28.487572]
[[28.5625 28.5    28.5625 28.5    28.5   ]],[28.52434  28.51501  28.50727  28.491806 28.477995]
[[28.5    28.5625 28.5    28.5    28.5   ]],[28.524189 28.515787 28.510136 28.497576 28.485767]
[[28.5625 28.5    28.5    28.5    28.5   ]],[28.486742 28.48173  28.476252 28.462692 28.449537]
[[28.5 28.5 28.5 28.5 28.5]],[28.517134 28.508188 28.502943 28.490591 28.478392]
[[28.5 28.5 28.5 28.5 28.5]],[28.476707 28.470602 28.464832 28.451859 28.440033]
[[28.5    28.5    28.5    28.5    28.4375]],[28.472317 28.466114 28.460571 28.447744 28.435518]
[[28.5    28.5    28.5    28.4375 28.4375]],[28.469624 28.462955 28.457611 28.444843 28.432634]
[[28.5    28.5    28.4375 28.4375 28.4375]],[28.462349 28.455038 28.449215 28.436972 28.426088]
[[28.5    28.4375 28.4375 28.4375 28.4375]],[28.470755 28.467276 28.465824 28.45741  28.449213]
[[28.4375 28.4375 28.4375 28.4375 28.375 ]],[28.470755 28.467276 28.465824 28.45741  28.449213]
[[28.4375 28.4375 28.4375 28.375  28.4375]],[28.42504  28.421154 28.415522 28.402317 28.390085]
[[28.4375 28.4375 28.375  28.4375 28.375 ]],[28.41108  28.405031 28.397278 28.381907 28.368597]
[[28.4375 28.375  28.4375 28.375  28.375 ]],[28.40104  28.393894 28.385857 28.371069 28.35911 ]
[[28.375  28.4375 28.375  28.375  28.375 ]],[28.400648 28.394459 28.388496 28.376625 28.36669 ]
[[28.4375 28.375  28.375  28.375  28.375 ]],[28.363466 28.360735 28.354979 28.34219  28.330904]
[[28.375  28.375  28.375  28.375  28.3125]],[28.393475 28.386728 28.381224 28.369593 28.359287]
[[28.375  28.375  28.375  28.3125 28.375 ]],[28.353477 28.349655 28.343607 28.331411 28.321482]
[[28.375  28.375  28.3125 28.375  28.3125]],[28.34899  28.345062 28.339262 28.32722  28.316893]
[[28.375  28.3125 28.375  28.3125 28.3125]],[28.346268 28.341866 28.33629  28.324337 28.31404 ]
[[28.3125 28.375  28.3125 28.3125 28.3125]],[28.339079 28.334042 28.327963 28.316519 28.307549]
[[28.375  28.3125 28.3125 28.3125 28.3125]],[28.302015 28.300474 28.294617 28.282288 28.27197 ]
[[28.3125 28.3125 28.3125 28.3125 28.3125]],[28.33184  28.326239 28.320639 28.30945  28.300121]
[[28.3125 28.3125 28.3125 28.3125 28.3125]],[28.292055 28.289421 28.28327  28.271538 28.262589]
[[28.3125 28.3125 28.3125 28.3125 28.3125]],[28.287512 28.284765 28.278877 28.267302 28.25795 ]
[[28.3125 28.3125 28.3125 28.3125 28.3125]],[28.284771 28.281553 28.275894 28.26442  28.255114]
[[28.3125 28.3125 28.3125 28.3125 28.25  ]],[28.277636 28.273779 28.26761  28.256632 28.248652]
[[28.3125 28.3125 28.3125 28.25   28.3125]],[28.288742 28.290548 28.290121 28.284834 28.281025]
[[28.3125 28.3125 28.25   28.3125 28.25  ]],[28.288742 28.290548 28.290121 28.284834 28.281025]
[[28.3125 28.25   28.3125 28.25   28.25  ]],[28.288742 28.290548 28.290121 28.284834 28.281025]
[[28.25   28.3125 28.25   28.25   28.25  ]],[28.288742 28.290548 28.290121 28.284834 28.281025]
[[28.3125 28.25   28.25   28.25   28.25  ]],[28.240683 28.240358 28.234417 28.222597 28.213266]
[[28.25 28.25 28.25 28.25 28.25]],[28.27032  28.265896 28.260227 28.249517 28.241188]
[[28.25   28.25   28.25   28.25   28.1875]],[28.23075  28.229336 28.2231   28.211876 28.20392 ]
[[28.25   28.25   28.25   28.1875 28.25  ]],[28.22615  28.224615 28.218653 28.207582 28.199228]
[[28.25   28.25   28.1875 28.25   28.1875]],[28.223387 28.22138  28.215656 28.204704 28.196404]
[[28.25   28.1875 28.25   28.1875 28.1875]],[28.216305 28.213669 28.20742  28.196943 28.189974]
[[28.1875 28.25   28.1875 28.1875 28.1875]],[28.228241 28.23188  28.231798 28.22754  28.22519 ]
[[28.25   28.1875 28.1875 28.1875 28.1875]],[28.179455 28.180382 28.174374 28.16309  28.154766]
[[28.1875 28.1875 28.1875 28.1875 28.1875]],[28.208916 28.205696 28.19997  28.189774 28.18246 ]
[[28.1875 28.1875 28.1875 28.1875 28.1875]],[28.169554 28.169397 28.16309  28.1524   28.145462]
[[28.1875 28.1875 28.1875 28.1875 28.125 ]],[28.164896 28.16461  28.158583 28.148043 28.140705]
[[28.1875 28.1875 28.1875 28.125  28.125 ]],[28.16211  28.161352 28.155573 28.145164 28.13789 ]
[[28.1875 28.1875 28.125  28.125  28.1875]],[28.155087 28.153708 28.14739  28.137444 28.131496]
[[28.1875 28.125  28.125  28.1875 28.125 ]],[28.167511 28.172777 28.17285  28.169426 28.16834 ]
[[28.125  28.125  28.1875 28.125  28.125 ]],[28.167511 28.172777 28.17285  28.169426 28.16834 ]
[[28.125  28.1875 28.125  28.125  28.125 ]],[28.118332 28.120544 28.114473 28.103752 28.096453]
[[28.1875 28.125  28.125  28.125  28.125 ]],[28.105005 28.104986 28.09691  28.084053 28.075705]
